Zip,Town,Date
53047,0057-CC01,2019-09-05_14-07-31
53058,0057-CC01,2019-09-05_14-07-31
53076,0057-CC01,2019-09-05_14-07-31
53021,0057-CC01,2019-09-05_14-07-31
53095,0057-CC01,2019-09-05_14-07-31
53056,0057-CC01,2019-09-05_14-07-31
53032,0057-CC01,2019-09-05_14-07-31
53060,0057-CC01,2019-09-05_14-07-31
53078,0057-CC01,2019-09-05_14-07-31
53074,0057-CC01,2019-09-05_14-07-31
53050,0057-CC01,2019-09-05_14-07-31
53016,0057-CC01,2019-09-05_14-07-31
53013,0057-CC01,2019-09-05_14-07-31
53017,0057-CC01,2019-09-05_14-07-31
53069,0057-CC01,2019-09-05_14-07-31
53003,0057-CC01,2019-09-05_14-07-31
53024,0057-CC01,2019-09-05_14-07-31
53090,0057-CC01,2019-09-05_14-07-31
53059,0057-CC01,2019-09-05_14-07-31
53033,0057-CC01,2019-09-05_14-07-31
53094,0057-CC01,2019-09-05_14-07-31
53035,0057-CC01,2019-09-05_14-07-31
53027,0057-CC01,2019-09-05_14-07-31
53092,0057-CC01,2019-09-05_14-07-31
53098,0057-CC01,2019-09-05_14-07-31
53091,0057-CC01,2019-09-05_14-07-31
53099,0057-CC01,2019-09-05_14-07-31
53036,0057-CC01,2019-09-05_14-07-31
53022,0057-CC01,2019-09-05_14-07-31
53012,0057-CC01,2019-09-05_14-07-31
53097,0057-CC01,2019-09-05_14-07-31
53064,0057-CC01,2019-09-05_14-07-31
53034,0057-CC01,2019-09-05_14-07-31
53002,0057-CC01,2019-09-05_14-07-31
53080,0057-CC01,2019-09-05_14-07-31
53086,0057-CC01,2019-09-05_14-07-31
53037,0057-CC01,2019-09-05_14-07-31
53004,0057-CC01,2019-09-05_14-07-31
53039,0057-CC01,2019-09-05_14-07-31
53040,0057-CC01,2019-09-05_14-07-31
53066,0057-CC01,2019-09-05_14-07-31
53209,0057-CC02,2019-09-05_14-07-31
53211,0057-CC02,2019-09-05_14-07-31
53217,0057-CC02,2019-09-05_14-07-31
53223,0057-CC02,2019-09-05_14-07-31
53212,0057-CC02,2019-09-05_14-07-31
53206,0057-CC02,2019-09-05_14-07-31
53224,0057-CC03,2019-09-05_14-07-31
53089,0057-CC03,2019-09-05_14-07-31
53222,0057-CC03,2019-09-05_14-07-31
53052,0057-CC03,2019-09-05_14-07-31
53218,0057-CC03,2019-09-05_14-07-31
53210,0057-CC03,2019-09-05_14-07-31
53263,0057-CC03,2019-09-05_14-07-31
53216,0057-CC03,2019-09-05_14-07-31
53007,0057-CC03,2019-09-05_14-07-31
53051,0057-CC03,2019-09-05_14-07-31
53046,0057-CC03,2019-09-05_14-07-31
53225,0057-CC03,2019-09-05_14-07-31
53402,0057-CC05,2019-09-05_14-07-31
53182,0057-CC05,2019-09-05_14-07-31
53144,0057-CC05,2019-09-05_14-07-31
53148,0057-CC05,2019-09-05_14-07-31
53179,0057-CC05,2019-09-05_14-07-31
53102,0057-CC05,2019-09-05_14-07-31
53403,0057-CC05,2019-09-05_14-07-31
53158,0057-CC05,2019-09-05_14-07-31
53171,0057-CC05,2019-09-05_14-07-31
53192,0057-CC05,2019-09-05_14-07-31
53104,0057-CC05,2019-09-05_14-07-31
53408,0057-CC05,2019-09-05_14-07-31
53138,0057-CC05,2019-09-05_14-07-31
53105,0057-CC05,2019-09-05_14-07-31
53405,0057-CC05,2019-09-05_14-07-31
53168,0057-CC05,2019-09-05_14-07-31
53170,0057-CC05,2019-09-05_14-07-31
53154,0057-CC05,2019-09-05_14-07-31
53404,0057-CC05,2019-09-05_14-07-31
53109,0057-CC05,2019-09-05_14-07-31
53195,0057-CC05,2019-09-05_14-07-31
53152,0057-CC05,2019-09-05_14-07-31
53176,0057-CC05,2019-09-05_14-07-31
53132,0057-CC05,2019-09-05_14-07-31
53401,0057-CC05,2019-09-05_14-07-31
53101,0057-CC05,2019-09-05_14-07-31
53128,0057-CC05,2019-09-05_14-07-31
53143,0057-CC05,2019-09-05_14-07-31
53141,0057-CC05,2019-09-05_14-07-31
53142,0057-CC05,2019-09-05_14-07-31
53177,0057-CC05,2019-09-05_14-07-31
53157,0057-CC05,2019-09-05_14-07-31
53406,0057-CC05,2019-09-05_14-07-31
53159,0057-CC05,2019-09-05_14-07-31
53181,0057-CC05,2019-09-05_14-07-31
53407,0057-CC05,2019-09-05_14-07-31
53140,0057-CC05,2019-09-05_14-07-31
53139,0057-CC05,2019-09-05_14-07-31
53194,0057-CC05,2019-09-05_14-07-31
53038,0057-CC07,2019-09-05_14-07-31
53150,0057-CC07,2019-09-05_14-07-31
53126,0057-CC07,2019-09-05_14-07-31
53191,0057-CC07,2019-09-05_14-07-31
53121,0057-CC07,2019-09-05_14-07-31
53190,0057-CC07,2019-09-05_14-07-31
53146,0057-CC07,2019-09-05_14-07-31
53184,0057-CC07,2019-09-05_14-07-31
53156,0057-CC07,2019-09-05_14-07-31
53125,0057-CC07,2019-09-05_14-07-31
53195,0057-CC07,2019-09-05_14-07-31
53176,0057-CC07,2019-09-05_14-07-31
53147,0057-CC07,2019-09-05_14-07-31
53137,0057-CC07,2019-09-05_14-07-31
53167,0057-CC07,2019-09-05_14-07-31
53153,0057-CC07,2019-09-05_14-07-31
53119,0057-CC07,2019-09-05_14-07-31
53115,0057-CC07,2019-09-05_14-07-31
53118,0057-CC07,2019-09-05_14-07-31
53185,0057-CC07,2019-09-05_14-07-31
53120,0057-CC07,2019-09-05_14-07-31
53189,0057-CC07,2019-09-05_14-07-31
53103,0057-CC07,2019-09-05_14-07-31
53178,0057-CC07,2019-09-05_14-07-31
53108,0057-CC07,2019-09-05_14-07-31
53114,0057-CC07,2019-09-05_14-07-31
53149,0057-CC07,2019-09-05_14-07-31
53127,0057-CC07,2019-09-05_14-07-31
53151,0057-CC07,2019-09-05_14-07-31
53219,0057-CC08,2019-09-05_14-07-31
53208,0057-CC08,2019-09-05_14-07-31
53213,0057-CC08,2019-09-05_14-07-31
53295,0057-CC08,2019-09-05_14-07-31
53228,0057-CC08,2019-09-05_14-07-31
53122,0057-CC08,2019-09-05_14-07-31
53234,0057-CC08,2019-09-05_14-07-31
53130,0057-CC08,2019-09-05_14-07-31
53226,0057-CC08,2019-09-05_14-07-31
53227,0057-CC08,2019-09-05_14-07-31
53129,0057-CC08,2019-09-05_14-07-31
53220,0057-CC08,2019-09-05_14-07-31
53214,0057-CC08,2019-09-05_14-07-31
53259,0057-CC04,2019-09-05_14-07-31
53201,0057-CC04,2019-09-05_14-07-31
53268,0057-CC04,2019-09-05_14-07-31
53207,0057-CC04,2019-09-05_14-07-31
53202,0057-CC04,2019-09-05_14-07-31
53110,0057-CC04,2019-09-05_14-07-31
53205,0057-CC04,2019-09-05_14-07-31
53288,0057-CC04,2019-09-05_14-07-31
53215,0057-CC04,2019-09-05_14-07-31
53274,0057-CC04,2019-09-05_14-07-31
53290,0057-CC04,2019-09-05_14-07-31
53791,0057-CC04,2019-09-05_14-07-31
53172,0057-CC04,2019-09-05_14-07-31
53203,0057-CC04,2019-09-05_14-07-31
53204,0057-CC04,2019-09-05_14-07-31
53293,0057-CC04,2019-09-05_14-07-31
53235,0057-CC04,2019-09-05_14-07-31
53267,0057-CC04,2019-09-05_14-07-31
53221,0057-CC04,2019-09-05_14-07-31
53237,0057-CC04,2019-09-05_14-07-31
53278,0057-CC04,2019-09-05_14-07-31
53233,0057-CC04,2019-09-05_14-07-31
53183,0057-CC06,2019-09-05_14-07-31
53045,0057-CC06,2019-09-05_14-07-31
53056,0057-CC06,2019-09-05_14-07-31
53187,0057-CC06,2019-09-05_14-07-31
53072,0057-CC06,2019-09-05_14-07-31
53186,0057-CC06,2019-09-05_14-07-31
53018,0057-CC06,2019-09-05_14-07-31
53005,0057-CC06,2019-09-05_14-07-31
53188,0057-CC06,2019-09-05_14-07-31
53064,0057-CC06,2019-09-05_14-07-31
53029,0057-CC06,2019-09-05_14-07-31
53008,0057-CC06,2019-09-05_14-07-31
